"","HSNS1","HSNS2","HSNS3","HSNS4","HSNS5","HSNS6","HSNS7","HSNS8","HSNS9","HSNS10","DDP1","DDP2","DDP3","DDP4","DDN1","DDN2","DDN3","DDN4","DDM1","DDM2","DDM3","DDM4","age","gender","accuracy","country"
"1",2,4,5,1,4,5,4,3,3,2,1,1,4,4,2,1,1,1,1,2,2,1,37,2,98,"PT"
"2",4,2,2,4,3,4,4,5,4,3,4,4,2,4,3,2,2,3,4,4,4,3,34,3,95,"PL"
"3",5,5,5,4,2,5,5,4,4,2,2,2,2,4,4,2,4,3,3,4,4,2,22,2,80,"AU"
"4",4,1,2,2,4,5,2,2,5,2,4,2,4,0,5,5,4,1,4,2,3,4,24,1,99,"US"
"5",5,3,4,5,5,5,4,5,4,3,4,3,4,4,4,2,5,2,4,4,1,5,21,2,90,"US"
"6",4,2,2,3,1,2,4,2,4,1,1,2,1,4,4,4,3,1,2,4,2,1,26,2,95,"US"
"7",4,4,4,2,3,3,4,3,4,2,3,2,3,3,4,4,2,3,4,4,4,1,35,2,60,"US"
"8",4,1,4,4,5,5,3,4,1,4,5,1,5,4,4,4,1,1,3,3,1,1,20,1,60,"US"
"9",4,3,3,2,3,4,3,3,4,3,2,2,3,2,3,4,3,2,2,2,3,1,46,1,85,"DE"
"10",4,2,2,1,2,4,2,2,3,3,2,1,4,4,4,2,2,1,2,4,4,2,23,1,100,"US"
"11",5,5,4,3,0,5,5,5,5,5,4,5,5,5,1,1,3,3,5,5,1,4,20,1,80,"US"
"12",5,2,5,5,5,5,3,5,5,1,5,4,5,5,5,5,5,5,5,5,4,5,17,1,100,"KR"
"13",5,5,5,5,4,5,5,5,5,2,5,4,5,4,5,5,5,5,5,5,4,4,17,1,95,"US"
"14",2,2,4,3,4,5,3,4,3,4,4,3,4,5,1,1,1,4,4,4,4,3,15,2,98,"US"
"15",5,1,2,4,5,5,3,4,4,5,5,2,3,4,5,2,5,3,3,3,3,4,19,1,88,"ZA"
"16",3,1,4,1,3,3,2,5,4,4,4,4,5,5,1,1,1,1,1,1,1,1,16,1,100,"US"
"17",2,2,3,3,3,4,2,2,2,2,3,3,4,4,4,2,3,2,4,4,2,2,15,2,70,"US"
"18",5,5,5,1,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,1,1,1,53,1,6,"US"
"19",4,4,2,4,4,4,4,5,5,4,3,4,4,4,5,5,4,4,4,4,4,4,21,1,100,"NZ"
"20",4,5,5,2,2,4,4,1,4,1,1,1,1,2,2,2,1,1,1,1,2,1,23,1,85,"AU"
"21",4,2,4,2,4,5,2,2,4,2,2,3,4,4,3,3,2,2,4,4,4,4,21,2,70,"RO"
"22",4,3,3,3,4,4,4,3,4,3,4,1,4,4,2,2,2,2,1,3,2,2,30,1,75,"US"
"23",2,1,1,3,4,5,2,2,4,4,4,5,4,4,4,4,4,4,4,5,4,4,21,1,85,"US"
"24",2,3,3,2,1,5,2,1,2,1,1,1,2,2,5,4,1,1,4,4,4,2,19,1,95,"US"
"25",4,2,5,1,1,1,4,5,2,1,2,1,1,2,4,4,1,2,3,4,2,1,23,2,87,"US"
"26",2,1,2,1,3,2,2,2,4,1,1,2,3,2,4,3,3,2,2,2,4,1,27,1,95,"US"
"27",1,4,2,3,5,4,4,4,3,5,4,3,4,4,4,2,3,3,3,5,3,3,16,1,90,"CA"
"28",4,4,4,2,2,4,4,2,4,1,2,1,2,5,5,4,4,2,4,4,2,3,17,1,78,"GB"
"29",5,2,4,4,4,5,3,0,4,3,5,4,4,4,4,5,3,4,4,4,4,4,34,1,90,"GR"
"30",5,4,4,5,4,5,4,5,4,5,2,4,4,4,4,4,3,4,2,2,4,4,32,1,100,"US"
"31",4,4,4,4,3,2,4,4,4,4,3,2,5,5,5,4,4,4,4,5,3,3,16,1,95,"US"
"32",4,3,4,3,4,4,4,3,4,3,2,3,3,4,5,4,4,4,3,1,4,3,29,1,100,"US"
"33",4,2,2,1,4,4,2,2,4,2,1,1,2,2,3,2,4,2,1,5,2,2,56,1,8,"US"
"34",4,5,5,2,4,4,5,5,5,4,4,4,4,5,5,4,5,4,5,5,5,4,32,1,98,"CA"
"35",3,3,3,3,4,4,3,2,3,3,2,2,2,4,4,3,3,2,2,4,1,3,35,2,80,"AU"
"36",5,2,3,4,4,5,4,4,5,5,3,1,4,4,5,3,4,2,3,3,4,3,28,2,97,"CA"
"37",3,3,1,5,5,5,4,2,4,5,5,5,5,5,5,5,3,3,5,5,4,4,15,1,92,"US"
"38",4,4,5,3,4,4,4,3,5,2,1,1,1,4,4,1,1,1,2,1,1,1,28,1,90,"US"
"39",3,1,4,5,5,4,3,5,4,4,5,4,4,5,2,1,2,4,5,5,5,4,18,1,100,"AU"
"40",4,4,2,4,4,3,4,4,4,3,2,2,4,5,4,4,4,1,2,4,4,2,34,1,70,"RS"
"41",4,4,4,2,4,5,5,4,3,4,4,4,2,5,4,3,3,3,4,4,4,4,33,1,90,"GB"
"42",2,3,2,1,1,1,3,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,19,1,95,"IN"
"43",5,3,3,5,5,5,3,4,4,4,5,5,5,4,5,3,5,3,5,5,5,5,19,1,95,"IN"
"44",5,2,4,4,5,5,4,5,5,5,5,5,5,5,4,3,4,4,5,5,5,4,21,1,90,"US"
"45",5,5,5,5,5,3,5,5,4,2,3,5,3,5,5,4,3,4,5,5,4,5,22,2,86,"BR"
"46",5,1,1,5,5,5,4,5,3,5,5,5,5,4,4,4,5,4,5,5,5,5,27,1,100,"US"
"47",3,3,4,4,2,3,2,2,4,2,1,1,1,4,2,2,1,1,1,1,1,1,22,2,90,"US"
"48",5,5,5,5,3,5,5,5,4,2,3,2,3,5,5,5,5,5,5,5,3,4,26,2,80,"CZ"
"49",3,5,1,3,5,5,5,3,5,1,3,1,5,5,5,3,4,3,3,3,5,1,32,2,95,"PH"
"50",5,1,1,2,1,5,1,5,1,1,5,2,5,5,4,3,4,1,5,4,2,4,19,1,95,"CA"
"51",2,1,4,5,4,5,2,4,5,2,5,5,5,5,5,5,5,4,4,4,5,4,19,1,80,"US"
"52",2,2,4,3,3,4,3,1,5,1,1,1,1,4,4,4,3,1,2,3,2,1,18,2,93,"US"
"53",5,2,4,5,5,5,4,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,30,1,100,"US"
"54",3,3,1,3,2,4,3,3,4,1,3,2,3,5,4,5,3,2,3,4,2,2,22,1,80,"DK"
"55",5,3,4,2,2,5,4,1,5,2,4,3,3,5,5,4,5,4,3,3,4,3,19,1,70,"US"
"56",2,4,4,2,2,4,2,1,2,2,1,1,2,4,3,2,3,2,1,2,2,1,0,0,50,"US"
"57",1,1,3,1,2,1,3,4,1,2,1,1,1,4,3,4,1,1,1,1,1,1,59,1,95,"US"
"58",2,5,5,2,3,4,5,4,5,2,2,3,3,4,2,1,2,1,3,4,3,2,17,2,100,"US"
"59",3,4,4,2,3,4,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,21,1,100,"IN"
"60",2,4,4,3,4,5,4,2,3,4,1,1,1,5,2,1,1,1,2,3,3,1,21,2,90,"LK"
"61",4,4,4,5,2,4,4,4,5,1,3,4,3,4,4,4,2,4,2,4,4,3,16,2,90,"GB"
"62",1,2,1,1,2,2,2,1,4,1,1,1,1,2,4,4,2,1,1,1,1,1,51,1,100,"US"
"63",4,2,2,2,4,4,3,3,4,2,2,2,3,3,4,4,4,3,3,4,2,3,39,1,100,"US"
"64",4,2,2,2,4,3,2,4,4,2,2,2,3,4,3,3,3,2,2,2,2,1,41,1,90,"FI"
"65",3,2,3,5,5,4,4,4,5,4,4,3,3,3,3,3,3,1,2,4,4,3,22,1,80,"US"
"66",2,2,2,4,3,3,3,1,1,4,4,4,3,4,4,3,4,1,3,5,4,1,51,2,100,"US"
"67",4,2,4,2,2,4,4,5,3,2,2,1,4,5,3,3,2,2,2,2,2,2,44,2,80,"US"
"68",5,5,5,3,5,5,4,5,5,5,5,5,2,5,4,4,2,3,5,5,5,5,22,2,100,"US"
"69",5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,21,1,96,"US"
"70",5,4,4,3,4,5,4,4,4,3,4,3,5,4,3,4,3,2,1,4,4,2,31,1,80,"US"
"71",3,3,3,3,4,4,3,4,5,4,4,4,4,4,4,2,2,3,4,4,2,3,27,1,50,"CA"
"72",5,5,5,4,5,5,5,5,5,5,5,2,3,4,5,5,5,5,4,5,5,3,33,1,80,"GB"
"73",3,4,5,3,4,4,5,4,4,2,4,4,5,4,4,4,4,4,4,5,4,4,29,1,90,"AU"
"74",5,5,5,3,5,5,5,5,5,3,3,1,5,5,5,5,5,5,5,5,3,5,27,1,80,"GB"
"75",4,3,2,3,2,4,5,4,5,2,2,2,5,5,5,4,3,3,3,5,1,2,36,1,90,"NZ"
"76",4,4,4,1,1,5,4,1,4,2,1,1,3,5,4,4,1,1,1,2,1,1,24,2,85,"US"
"77",4,2,2,4,2,3,2,2,4,2,2,2,3,3,4,1,3,4,2,4,2,2,19,2,70,"US"
"78",2,2,2,1,1,2,3,1,2,1,1,1,1,2,4,2,1,1,2,4,2,1,31,2,75,"US"
"79",5,3,2,2,4,5,4,4,5,4,5,2,5,4,4,3,4,3,5,4,4,3,27,2,85,"US"
"80",4,4,5,5,2,4,4,1,5,3,1,1,3,1,5,5,4,1,1,4,1,1,18,2,95,"CH"
