"","M1","M2","M3","M4","M5","M6","M7","M8","M9","N1","N2","N3","N4","N5","N6","N7","N8","N9","P1","P2","P3","P4","P5","P6","P7","P8","P9","country","source"
"1",4,4,4,4,4,4,4,3,4,2,4,2,3,4,4,2,3,4,3,4,3,2,4,4,4,4,4,"GB",1
"2",2,1,5,2,2,1,2,2,3,1,5,1,1,5,5,1,5,2,1,1,1,5,4,1,5,3,2,"US",1
"3",3,3,3,5,1,1,5,5,3,2,5,1,1,1,5,1,5,5,3,5,3,1,3,1,2,3,1,"US",1
"4",5,5,4,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,1,5,2,5,5,5,1,5,"GB",3
"5",4,4,2,5,5,5,4,1,4,3,4,3,1,5,4,3,2,5,4,5,3,1,4,3,5,4,1,"GB",3
"6",4,2,2,4,2,3,5,2,2,2,5,2,2,2,4,1,3,5,3,5,4,4,2,2,1,1,5,"IT",1
"7",4,4,4,2,4,4,4,3,5,4,4,3,3,4,3,2,4,4,3,2,4,2,4,3,4,4,3,"GB",1
"8",5,5,5,5,5,5,5,4,5,4,1,5,5,5,1,4,1,5,2,5,2,5,5,5,2,5,3,"GB",1
"9",5,3,4,4,4,4,4,2,4,3,5,2,1,4,5,2,3,4,5,2,4,3,4,4,1,2,1,"US",1
"10",5,5,5,3,5,5,5,5,5,5,1,5,5,5,1,5,1,5,5,2,5,5,5,5,5,3,5,"US",1
"11",5,5,5,5,5,4,1,5,4,4,3,4,3,5,1,4,2,3,3,3,3,3,4,3,2,3,4,"US",1
"12",5,4,4,3,5,5,5,3,5,5,2,5,5,3,1,4,1,5,4,2,2,1,5,5,2,1,1,"GB",1
"13",5,1,2,2,1,2,4,1,2,2,4,2,1,2,2,4,4,4,2,2,2,4,4,2,4,1,1,"SE",3
"14",2,2,3,4,3,3,4,2,4,2,2,2,2,3,3,2,2,3,1,3,3,1,4,4,1,1,2,"GB",1
"15",5,3,4,4,3,4,5,4,5,5,2,4,3,4,5,2,4,3,5,2,3,3,2,3,3,3,3,"GB",3
"16",4,5,4,5,4,4,5,4,5,3,4,2,4,5,5,5,4,3,2,2,2,1,2,1,5,1,1,"US",1
"17",4,3,3,4,2,2,5,2,4,3,3,2,1,3,4,3,2,4,2,3,1,2,3,2,3,3,2,"GB",3
"18",5,2,4,4,5,4,5,3,4,1,2,1,1,3,4,1,4,3,1,4,3,2,1,2,5,1,2,"GB",1
"19",5,4,0,2,4,4,4,4,5,3,2,3,2,4,4,3,4,4,4,4,4,2,4,2,2,2,2,"US",3
"20",4,4,3,2,1,1,4,2,4,3,4,2,2,3,0,2,3,3,2,3,3,1,3,4,5,5,2,"US",3
"21",5,3,4,4,4,3,5,3,5,4,5,3,3,4,5,3,4,3,1,4,2,1,2,2,1,3,1,"US",3
"22",5,1,2,2,4,4,5,2,5,2,2,3,2,2,4,4,1,2,4,2,4,2,4,2,2,1,4,"GB",1
"23",4,5,4,3,5,4,4,3,5,5,1,4,4,4,2,4,2,4,3,3,5,4,4,4,4,4,4,"US",2
"24",2,5,5,5,2,3,4,4,5,5,1,5,5,5,1,3,1,4,4,3,4,4,4,3,2,4,5,"US",1
"25",5,5,4,4,5,5,5,5,5,4,3,3,1,2,1,4,1,5,4,2,1,2,5,5,2,5,5,"CA",2
"26",2,2,2,2,2,2,4,3,4,2,3,2,2,2,3,2,4,2,2,3,2,2,3,2,4,4,2,"US",1
"27",4,2,3,2,3,3,2,3,2,3,4,2,3,2,5,2,4,2,2,5,2,3,3,2,5,1,1,"CA",1
