"A","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34","Q35","Q36","Q37","Q38","Q39","Q40","elapse","NPI_Score","AR","gender","age"
1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,538,1.55,,2,18
2,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,0,1,1,1,1,2,1,1,2,1,1,1,1,2,243,1.375,,1,32
3,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,372,1.65,,1,25
4,2,2,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,1,2,2,1,280,1.525,,1,48
5,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,476,1.35,,1,16
6,2,2,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,204,1.575,,1,30
7,1,2,1,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,234,1.55,,1,19
8,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,311,1.375,,1,26
9,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,1,1,236,1.5,,1,56
10,1,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,222,1.625,,2,23
11,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,329,1.55,,2,25
12,1,2,2,1,1,2,2,1,2,1,2,2,2,0,2,2,1,1,1,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,170,1.55,,2,57
13,1,2,2,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,2,252,1.475,,1,36
14,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,262,1.575,,1,43
15,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,501,1.475,,2,40
16,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,473,1.575,,2,51
17,1,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,264,1.475,,1,24
18,1,2,2,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,298,1.6,,1,33
19,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,0,1,2,2,1,2,2,2,2,1,302,1.525,,1,44
20,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,489,1.575,,2,65
21,2,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,1,2,434,1.575,,2,20
22,2,2,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,167,1.55,,1,50
