"","Neuroticism_1","Neuroticism_2","Neuroticism_3","Neuroticism_4","Neuroticism_5","Neuroticism_6","Neuroticism_7","Neuroticism_8","Neuroticism_9","Neuroticism_10","Extraversion_1","Extraversion_2","Extraversion_3","Extraversion_4","Extraversion_5","Extraversion_6","Extraversion_7","Extraversion_8","Extraversion_9","Extraversion_10","Openness_1","Openness_2","Openness_3","Openness_4","Openness_5","Openness_6","Openness_7","Openness_8","Openness_9","Openness_10","Agreeableness_1","Agreeableness_2","Agreeableness_3","Agreeableness_4","Agreeableness_5","Agreeableness_6","Agreeableness_7","Agreeableness_8","Agreeableness_9","Agreeableness_10","Conscientiousness_1","Conscientiousness_2","Conscientiousness_3","Conscientiousness_4","Conscientiousness_5","Conscientiousness_6","Conscientiousness_7","Conscientiousness_8","Conscientiousness_9","Conscientiousness_10"
"1",5,4,5,6,6,5,5,5,4,6,5,6,6,6,4,5,5,3,6,3,5,4,5,4,7,5,5,5,5,4,6,5,6,7,5,5,3,5,3,4,6,7,6,7,6,7,5,5,4,4
"2",6,5,5,6,6,3,3,5,4,3,6,7,6,6,6,4,3,2,4,3,6,6,7,5,7,4,4,5,5,4,6,6,7,7,6,4,3,6,4,3,5,5,5,4,5,7,5,4,5,4
"3",5,5,5,5,5,3,4,5,5,4,4,4,3,3,4,7,7,6,6,5,6,6,6,7,6,5,4,5,4,3,6,7,6,6,6,6,3,6,5,4,7,5,5,5,6,4,5,4,4,3
"4",4,4,4,4,6,4,5,6,6,6,6,6,5,4,4,4,5,5,5,4,5,6,4,5,5,5,4,6,5,3,5,7,6,7,5,4,3,7,5,3,6,6,6,5,4,5,5,5,5,4
"5",5,5,5,5,7,2,5,6,4,5,5,6,5,5,5,3,5,3,6,5,7,5,7,4,6,4,3,5,5,4,6,6,7,5,7,3,3,7,3,5,5,6,5,5,4,6,6,4,4,5
"6",5,5,4,6,6,4,4,6,6,4,4,7,7,5,5,4,6,3,5,4,5,3,6,5,6,4,5,6,5,3,2,4,6,4,4,6,6,7,6,6,6,7,5,6,6,4,5,4,4,4
"7",6,5,6,7,6,3,3,3,3,5,5,5,5,4,4,4,6,5,6,6,7,6,7,7,7,4,2,2,3,4,7,6,7,7,6,5,3,5,4,4,6,7,5,6,6,4,5,6,4,4
"8",4,4,4,4,5,6,4,6,6,5,6,6,6,5,6,4,5,3,7,5,6,5,6,5,7,4,4,4,4,4,4,4,5,5,3,7,5,6,6,6,5,5,4,5,5,5,5,5,4,5
"9",6,5,3,5,6,6,4,6,7,5,7,7,7,7,5,3,3,3,4,4,7,6,5,6,7,4,2,4,5,3,7,6,7,7,7,2,2,4,2,2,5,6,6,5,7,4,6,6,3,4
"10",7,6,6,7,6,3,3,4,4,4,5,6,7,5,5,4,5,6,5,3,5,5,6,5,4,5,6,6,6,4,6,5,7,6,6,5,3,5,4,3,5,7,5,5,4,6,6,4,6,5
